# Metadata
# tracker: mediapipe_tracker
# num_cameras: 2
# num_landmarks: 33

frame,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_shoulder,right_shoulder,left_hip,right_hip,left_elbow,left_wrist,right_elbow,right_wrist,left_knee,left_ankle,right_knee,right_ankle
67,51.374661240902654,130.3059986259693,175.4393755641086,155.42837412079484,119.79451471495304,178.9135533544121,104.38991431136193,82.03182912499459,84.40654376557136,97.10792558798582,96.00683106148628,165.42410334899088,171.07685083731783,163.3505609737042,176.64470948277366,176.01077985083643,,143.19098231206888,150.1729967812563
68,52.24868622586858,127.73559961322088,174.25473997501666,151.04585565300502,122.81517885004008,178.86170243397416,107.1192622849086,83.71865076950087,82.7617742043024,95.66550036571762,97.16798196400053,165.39702030069006,171.0756086177088,162.66871876781363,175.77982256409362,175.86758424809548,159.65236448036694,145.638164332335,149.72750029629924
69,47.746006338555034,129.98259672502047,173.7172124877968,153.72733238151932,123.32502850197143,179.42821831898618,112.05734222595345,83.6867204104929,82.43054061295818,96.69044463095001,96.54736572485922,168.23089671469376,172.55011400493194,161.03221534308113,178.63827025723947,175.33969106267068,159.29218809533413,154.7385296032506,144.30443885961154
70,47.523551433510114,130.10126554802883,176.0014601010515,148.9124800987208,120.33301921306315,174.46221923883482,117.55442949239357,82.7967102257559,83.715683749976,97.8060303079668,95.0461097282174,167.30129726230052,171.4475628247878,161.94917663211342,179.2019643696091,172.55144558037446,155.56905622732563,162.26765565271307,139.73195450356542
71,46.86240127379585,133.3896638354047,176.85390754738145,147.59536780669026,117.34269856421626,173.16528486306942,114.45802831969863,83.03051641488764,83.68141133582883,97.580754124871,95.02669430855072,166.54799485385647,172.99222911325833,163.6335772301392,177.9900021040309,171.70090803040668,152.90528382351056,166.09616319710562,137.8780772880603
72,45.43813535453873,135.0224526631835,177.28592357491524,151.43738013382304,116.16222008440732,171.57439611223896,112.0185901185457,83.06730831206873,84.49304616645594,97.3903130480942,94.32499495957785,165.64572498074304,173.87123312557952,165.9510572750571,178.2313558919561,170.7768524434487,150.89648523714857,169.28949324535694,136.53824447253092
73,47.775401655371006,134.7028800202316,175.54177549782895,154.6359389259844,117.61082946181908,176.61334934804702,107.1711465419624,83.09850637485604,84.6666135299145,97.98619273861556,93.65174452299057,166.37935192782024,175.32189283866393,166.51690341596486,176.45955789206064,170.30719734310756,149.9842761197999,170.75334339145542,133.78775385468595
74,49.2384523027565,134.5557741681083,173.68019928357393,154.36647973576584,119.2205376022207,176.5724901936974,98.70342432793663,82.11854173503859,85.6366411382805,99.10515754094318,92.66054097515782,164.92498503420856,175.34413265423146,168.91737923377025,174.44341930945913,167.7935998862134,146.95720999958687,172.95074249849998,139.36463529490285
75,50.59446050923032,131.59352660183464,176.48897170449746,155.01496279157683,118.93410216559766,177.57601181084732,95.08168593615731,81.67769250741716,85.98657078761813,99.83161750785973,92.16062149268598,164.61227007350868,175.32750688466683,168.55178786290352,175.3892489633636,167.37243269303335,149.46047720509387,173.70077473627427,144.29703391338873
76,49.19789072522198,134.28519881311607,176.69577742743675,157.03121873265164,116.79662846212642,178.10351580957777,99.54402750906921,21.490002197860516,,100.47011722301691,100.15786650394546,166.96305828693113,175.41383739175737,,178.55757065806816,159.9063989427739,152.3071059489818,172.1019213222088,147.32032050580722
